Nome,Partido,Estado,Email,Telefone
ABEL MESQUITA JR.,DEM,RR,dep.abelmesquitajr.@camara.leg.br,3215-5248
ADAIL CARNEIRO,PP,CE,dep.adailcarneiro@camara.leg.br,3215-5335
ADALBERTO CAVALCANTI,AVANTE,PE,dep.adalbertocavalcanti@camara.leg.br,3215-5402
ADELMO CARNEIRO LEÃO,PT,MG,dep.adelmocarneiroleao@camara.leg.br,3215-5231
ADELSON BARRETO,PR,SE,dep.adelsonbarreto@camara.leg.br,3215-5937
ADEMIR CAMILO,PODE,MG,dep.ademircamilo@camara.leg.br,3215-5556
AELTON FREITAS,PR,MG,dep.aeltonfreitas@camara.leg.br,3215-5204
AFONSO FLORENCE,PT,BA,dep.afonsoflorence@camara.leg.br,3215-5305
AFONSO HAMM,PP,RS,dep.afonsohamm@camara.leg.br,3215-5604
AFONSO MOTTA,PDT,RS,dep.afonsomotta@camara.leg.br,3215-5711
AGUINALDO RIBEIRO,PP,PB,dep.aguinaldoribeiro@camara.leg.br,3215-5735
ALAN RICK,DEM,AC,dep.alanrick@camara.leg.br,3215-5650
ALBERTO FILHO,PMDB,MA,dep.albertofilho@camara.leg.br,3215-5202
ALBERTO FRAGA,DEM,DF,dep.albertofraga@camara.leg.br,3215-5511
ALCEU MOREIRA,PMDB,RS,dep.alceumoreira@camara.leg.br,3215-5238
ALESSANDRO MOLON,REDE,RJ,dep.alessandromolon@camara.leg.br,3215-5652
ALEX CANZIANI,PTB,PR,dep.alexcanziani@camara.leg.br,3215-5842
ALEX MANENTE,PPS,SP,dep.alexmanente@camara.leg.br,3215-5245
ALEXANDRE LEITE,DEM,SP,dep.alexandreleite@camara.leg.br,3215-5841
ALEXANDRE SERFIOTIS,PMDB,RJ,dep.alexandreserfiotis@camara.leg.br,3215-5554
ALEXANDRE VALLE,PR,RJ,dep.alexandrevalle@camara.leg.br,3215-5587
ALFREDO KAEFER,PSL,PR,dep.alfredokaefer@camara.leg.br,3215-5818
ALFREDO NASCIMENTO,PR,AM,dep.alfredonascimento@camara.leg.br,3215-5401
ALICE PORTUGAL,PCdoB,BA,dep.aliceportugal@camara.leg.br,3215-5420
ALIEL MACHADO,REDE,PR,dep.alielmachado@camara.leg.br,3215-5480
ALTINEU CÔRTES,PMDB,RJ,dep.altineucortes@camara.leg.br,3215-5578
ALUISIO MENDES,PODE,MA,dep.aluisiomendes@camara.leg.br,3215-5931
ANA PERUGINI,PT,SP,dep.anaperugini@camara.leg.br,3215-5436
ANDRÉ ABDON,PP,AP,dep.andreabdon@camara.leg.br,3215-5831
ANDRÉ AMARAL,PMDB,PB,dep.andreamaral@camara.leg.br,3215-5276
ANDRÉ DE PAULA,PSD,PE,dep.andredepaula@camara.leg.br,3215-5754
ANDRÉ FIGUEIREDO,PDT,CE,dep.andrefigueiredo@camara.leg.br,3215-5940
ANDRÉ FUFUCA,PP,MA,dep.andrefufuca@camara.leg.br,3215-5945
ANDRE MOURA,PSC,SE,dep.andremoura@camara.leg.br,3215-5846
ANDRES SANCHEZ,PT,SP,dep.andressanchez@camara.leg.br,3215-5939
