Nome,Partido,Email,Telefone
AGUINALDO RIBEIRO,PP,dep.aguinaldoribeiro@camara.leg.br,3215-5735
ANDRÉ AMARAL,PMDB,dep.andreamaral@camara.leg.br,3215-5276
BENJAMIN MARANHÃO,SD,dep.benjaminmaranhao@camara.leg.br,3215-5458
DAMIÃO FELICIANO,PDT,dep.damiaofeliciano@camara.leg.br,3215-5938
EFRAIM FILHO,DEM,dep.efraimfilho@camara.leg.br,3215-5744
HUGO MOTTA,PMDB,dep.hugomotta@camara.leg.br,3215-5237
LUIZ COUTO,PT,dep.luizcouto@camara.leg.br,3215-5442
PEDRO CUNHA LIMA,PSDB,dep.pedrocunhalima@camara.leg.br,3215-5611
RÔMULO GOUVEIA,PSD,dep.romulogouveia@camara.leg.br,3215-5411
VENEZIANO VITAL DO RÊGO,PMDB,dep.venezianovitaldorego@camara.leg.br,3215-5833
WELLINGTON ROBERTO,PR,dep.wellingtonroberto@camara.leg.br,3215-5514
WILSON FILHO,PTB,dep.wilsonfilho@camara.leg.br,3215-5534
